,firm_Score,Firm,ad_Firm_Role,Job_Location
299,Null,Alia Therapeutics,(Senior) Research Scientist,Trento
300,Null,Humanitas,Scientist and Coordinator Correlative Light Cryo-Electron Microscopy (CLEM),Rozzano
301,Null,EgoValeo,Data Scientist con Power BI,Roma
302,Null,EgoValeo,Data Scientist con Power BI (società ambito finance),Rome
303,Null,JP Mawel srl,Ingegnere,Nola
304,Null,Skienda,DATA SCIENTIST,Roma
305,Null,Wellnet,Digital Strategist & Analyst,Milano
306,Null,Cellply,Senior Scientist,Bologna
307,Null,COISPA Tecnologia & Ricerca,Computer Scientist,Bari
308,Null,COISPA Tecnologia & Ricerca,Quantitative Analysis and Modelling,Bari
309,Null,Wellnet,Senior Data Scientist,Milano
310,Null,Polo Digitale,Data Warehouse Developer,Milano
311,Null,EgoValeo,Data scientist / esperto statistica per società di gaming,Roma
312,Null,EgoValeo,Data scientist / Analista di prodotto,Roma
313,Null,Be Group,Area Financial Services & Banking | Consultant – Appartenenti alle Categorie Protette (D.lgs 68/99),Remote
